000001.SZ,平安银行,1991-04-03
000002.SZ,万科A,1991-01-29
000004.SZ,国农科技,1991-01-14
000005.SZ,世纪星源,1990-12-10
000006.SZ,深振业A,1992-04-27
000007.SZ,全新好,1992-04-13
000008.SZ,神州高铁,1992-05-07
000009.SZ,中国宝安,1991-06-25
000010.SZ,美丽生态,1995-10-27
000011.SZ,深物业A,1992-03-30
000012.SZ,南玻A,1992-02-28
000014.SZ,沙河股份,1992-06-02
000016.SZ,深康佳A,1992-03-27
000017.SZ,深中华A,1992-03-31
000018.SZ,神州长城,1992-06-16
000019.SZ,深深宝A,1992-10-12
000020.SZ,深华发A,1992-04-28
000021.SZ,深科技,1994-02-02
000022.SZ,深赤湾A,1993-05-05
000023.SZ,深天地A,1993-04-29
000025.SZ,特力A,1993-06-21
000026.SZ,飞亚达A,1993-06-03
000027.SZ,深圳能源,1993-09-03
000028.SZ,国药一致,1993-08-09
000029.SZ,深深房A,1993-09-15
000030.SZ,富奥股份,1993-09-29
000031.SZ,中粮地产,1993-10-08
000032.SZ,深桑达A,1993-10-28
000033.SZ,*ST新都,1994-01-03
000034.SZ,神州数码,1994-05-09
000035.SZ,中国天楹,1994-04-08
000036.SZ,华联控股,1994-06-17
000037.SZ,*ST南电A,1994-07-01
000038.SZ,深大通,1994-08-08
000039.SZ,中集集团,1994-04-08
000040.SZ,宝安地产,1994-08-08
000042.SZ,中洲控股,1994-09-21
000043.SZ,中航地产,1994-09-28
000045.SZ,深纺织A,1994-08-15
000046.SZ,泛海控股,1994-09-12
000048.SZ,康达尔,1994-11-01
000049.SZ,德赛电池,1995-03-20
000050.SZ,深天马A,1995-03-15
000055.SZ,方大集团,1996-04-15
000056.SZ,皇庭国际,1996-07-08
000058.SZ,深赛格,1996-12-26
000059.SZ,华锦股份,1997-01-30
000060.SZ,中金岭南,1997-01-23
000061.SZ,农产品,1997-01-10
000062.SZ,深圳华强,1997-01-30
000063.SZ,中兴通讯,1997-11-18
000065.SZ,北方国际,1998-06-05
000066.SZ,长城电脑,1997-06-26
000068.SZ,华控赛格,1997-06-11
000069.SZ,华侨城A,1997-09-10
000070.SZ,特发信息,2000-05-11
000078.SZ,海王生物,1998-12-18
000088.SZ,盐田港,1997-07-28
000089.SZ,深圳机场,1998-04-20
000090.SZ,天健集团,1999-07-21
000096.SZ,广聚能源,2000-07-24
000099.SZ,中信海直,2000-07-31
000100.SZ,TCL集团,2004-01-30
000150.SZ,宜华健康,2000-08-07
000151.SZ,中成股份,2000-09-06
000153.SZ,丰原药业,2000-09-20
000155.SZ,*ST川化,2000-09-26
000156.SZ,华数传媒,2000-09-06
000157.SZ,中联重科,2000-10-12
000158.SZ,常山股份,2000-07-24
000159.SZ,国际实业,2000-09-26
000166.SZ,申万宏源,2015-01-26
000301.SZ,东方市场,2000-05-29
000333.SZ,美的集团,2013-09-18
000338.SZ,潍柴动力,2007-04-30
000400.SZ,许继电气,1997-04-18
000401.SZ,冀东水泥,1996-06-14
000402.SZ,金融街,1996-06-26
000403.SZ,ST生化,1996-06-28
000404.SZ,华意压缩,1996-06-19
000407.SZ,胜利股份,1996-07-03
000408.SZ,*ST金源,1996-06-28
000409.SZ,山东地矿,1996-06-27
000410.SZ,沈阳机床,1996-07-18
000411.SZ,英特集团,1996-07-16
000413.SZ,东旭光电,1996-09-25
000415.SZ,渤海金控,1996-07-16
000416.SZ,民生控股,1996-07-19
000417.SZ,合肥百货,1996-08-12
000418.SZ,小天鹅A,1997-03-28
000419.SZ,通程控股,1996-08-16
000420.SZ,吉林化纤,1996-08-02
000421.SZ,南京中北,1996-08-06
000422.SZ,湖北宜化,1996-08-15
000423.SZ,东阿阿胶,1996-07-29
000425.SZ,徐工机械,1996-08-28
000426.SZ,兴业矿业,1996-08-28
000428.SZ,华天酒店,1996-08-08
000429.SZ,粤高速A,1998-02-20
000430.SZ,张家界,1996-08-29
000488.SZ,晨鸣纸业,2000-11-20
000498.SZ,山东路桥,1997-06-09
000501.SZ,鄂武商A,1992-11-20
000502.SZ,绿景控股,1992-11-23
000503.SZ,海虹控股,1992-11-30
000504.SZ,*ST生物,1992-12-08
000505.SZ,*ST珠江,1992-12-21
000506.SZ,中润资源,1993-03-12
000507.SZ,珠海港,1993-03-26
000509.SZ,华塑控股,1993-05-07
000510.SZ,金路集团,1993-05-07
000511.SZ,*ST烯碳,1993-05-18
000513.SZ,丽珠集团,1993-10-28
000514.SZ,渝开发,1993-07-12
000516.SZ,国际医学,1993-08-09
000517.SZ,荣安地产,1993-08-06
000518.SZ,四环生物,1993-09-08
000519.SZ,江南红箭,1993-10-08
000520.SZ,长航凤凰,1993-10-25
000521.SZ,美菱电器,1993-10-18
000523.SZ,广州浪奇,1993-11-08
000524.SZ,岭南控股,1993-11-18
000525.SZ,红太阳,1993-10-28
000526.SZ,银润投资,1993-11-01
000528.SZ,柳工,1993-11-18
000529.SZ,广弘控股,1993-11-18
000530.SZ,大冷股份,1993-12-08
000531.SZ,穗恒运A,1994-01-06
000532.SZ,力合股份,1994-01-03
000533.SZ,万家乐,1994-01-03
000534.SZ,万泽股份,1994-01-10
000536.SZ,华映科技,1993-11-26
000537.SZ,广宇发展,1993-12-10
000538.SZ,云南白药,1993-12-15
000539.SZ,粤电力A,1993-11-26
000540.SZ,中天城投,1994-02-02
000541.SZ,佛山照明,1993-11-23
000543.SZ,皖能电力,1993-12-20
000544.SZ,中原环保,1993-12-08
000545.SZ,金浦钛业,1993-12-15
000546.SZ,金圆股份,1993-12-15
000547.SZ,航天发展,1993-11-30
000548.SZ,湖南投资,1993-12-20
000550.SZ,江铃汽车,1993-12-01
000551.SZ,创元科技,1994-01-06
000552.SZ,靖远煤电,1994-01-06
000553.SZ,沙隆达A,1993-12-03
000554.SZ,泰山石油,1993-12-15
000555.SZ,神州信息,1994-04-08
000557.SZ,银广夏,1994-06-17
000558.SZ,莱茵体育,1994-05-09
000559.SZ,万向钱潮,1994-01-10
000560.SZ,昆百大A,1994-02-02
000561.SZ,烽火电子,1994-05-09
000563.SZ,陕国投A,1994-01-10
000564.SZ,西安民生,1994-01-10
000565.SZ,渝三峡A,1994-04-08
000566.SZ,海南海药,1994-05-25
000567.SZ,海德股份,1994-05-25
000568.SZ,泸州老窖,1994-05-09
000570.SZ,苏常柴A,1994-07-01
000571.SZ,新大洲A,1994-05-25
000572.SZ,海马汽车,1994-08-08
000573.SZ,粤宏远A,1994-08-15
000576.SZ,广东甘化,1994-09-07
000581.SZ,威孚高科,1998-09-24
000582.SZ,北部湾港,1995-11-02
000584.SZ,友利控股,1995-11-28
000585.SZ,东北电气,1995-12-13
000586.SZ,汇源通信,1995-12-20
000587.SZ,金洲慈航,1996-04-25
000589.SZ,黔轮胎A,1996-03-08
000590.SZ,启迪古汉,1996-01-19
000591.SZ,太阳能,1996-02-08
000592.SZ,平潭发展,1996-03-27
000593.SZ,大通燃气,1996-03-12
000595.SZ,宝塔实业,1996-04-19
000596.SZ,古井贡酒,1996-09-27
000597.SZ,东北制药,1996-05-23
000598.SZ,兴蓉环境,1996-05-29
000599.SZ,青岛双星,1996-04-30
000600.SZ,建投能源,1996-06-06
000601.SZ,韶能股份,1996-08-30
000603.SZ,盛达矿业,1996-08-23
000605.SZ,渤海股份,1996-09-13
000606.SZ,*ST明胶,1996-10-04
000607.SZ,华媒控股,1996-08-30
000608.SZ,阳光股份,1996-09-19
000609.SZ,绵世股份,1996-10-10
000610.SZ,西安旅游,1996-09-26
000611.SZ,*ST蒙发,1996-10-08
000612.SZ,焦作万方,1996-09-26
000613.SZ,大东海A,1997-01-28
000615.SZ,湖北金环,1996-10-16
000616.SZ,海航投资,1996-11-08
000617.SZ,*ST济柴,1996-10-22
000619.SZ,海螺型材,1996-10-23
000620.SZ,新华联,1996-10-29
000622.SZ,*ST恒立,1996-11-07
000623.SZ,吉林敖东,1996-10-28
000625.SZ,长安汽车,1997-06-10
000626.SZ,如意集团,1996-11-28
000627.SZ,天茂集团,1996-11-12
000628.SZ,高新发展,1996-11-18
000629.SZ,*ST钒钛,1996-11-15
000630.SZ,铜陵有色,1996-11-20
000631.SZ,顺发恒业,1996-11-22
000632.SZ,三木集团,1996-11-21
000633.SZ,*ST合金,1996-11-12
000635.SZ,英力特,1996-11-20
000636.SZ,风华高科,1996-11-29
000637.SZ,茂化实华,1996-11-14
000638.SZ,万方发展,1996-11-26
000639.SZ,西王食品,1996-11-26
000650.SZ,仁和药业,1996-12-10
000651.SZ,格力电器,1996-11-18
000652.SZ,泰达股份,1996-11-28
000655.SZ,金岭矿业,1996-11-28
000656.SZ,金科股份,1996-11-28
000657.SZ,中钨高新,1996-12-05
000659.SZ,珠海中富,1996-12-03
000661.SZ,长春高新,1996-12-18
000662.SZ,天夏智慧,1996-12-16
000663.SZ,永安林业,1996-12-06
000665.SZ,湖北广电,1996-12-10
000666.SZ,经纬纺机,1996-12-10
000667.SZ,美好集团,1996-12-05
000668.SZ,荣丰控股,1996-12-10
000669.SZ,金鸿能源,1996-12-10
000670.SZ,*ST盈方,1996-12-17
000671.SZ,阳光城,1996-12-18
000672.SZ,上峰水泥,1996-12-18
000673.SZ,当代东方,1997-01-24
000676.SZ,智度投资,1996-12-24
000677.SZ,恒天海龙,1996-12-26
000678.SZ,襄阳轴承,1997-01-06
000679.SZ,大连友谊,1997-01-24
000680.SZ,山推股份,1997-01-22
000681.SZ,视觉中国,1997-01-21
000682.SZ,东方电子,1997-01-21
000683.SZ,远兴能源,1997-01-31
000685.SZ,中山公用,1997-01-23
000686.SZ,东北证券,1997-02-27
000687.SZ,华讯方舟,1997-02-21
000688.SZ,建新矿业,1997-01-20
000690.SZ,宝新能源,1997-01-28
000691.SZ,ST亚太,1997-02-28
000692.SZ,惠天热电,1997-02-27
000693.SZ,ST华泽,1997-02-26
000695.SZ,滨海能源,1997-02-18
000697.SZ,炼石有色,1997-03-25
000698.SZ,沈阳化工,1997-02-20
000700.SZ,模塑科技,1997-02-28
000701.SZ,厦门信达,1997-02-26
000702.SZ,正虹科技,1997-03-18
000703.SZ,恒逸石化,1997-03-28
000705.SZ,浙江震元,1997-04-10
000707.SZ,双环科技,1997-04-15
000708.SZ,大冶特钢,1997-03-26
000709.SZ,河钢股份,1997-04-16
000710.SZ,天兴仪表,1997-04-22
000711.SZ,京蓝科技,1997-04-11
000712.SZ,锦龙股份,1997-04-15
000713.SZ,丰乐种业,1997-04-22
000715.SZ,中兴商业,1997-05-08
000716.SZ,黑芝麻,1997-04-18
000717.SZ,*ST韶钢,1997-05-08
000718.SZ,苏宁环球,1997-04-08
000719.SZ,大地传媒,1997-03-31
000720.SZ,新能泰山,1997-05-09
000721.SZ,西安饮食,1997-04-30
000722.SZ,湖南发展,1997-05-22
000723.SZ,美锦能源,1997-05-15
000725.SZ,京东方A,2001-01-12
000726.SZ,鲁泰A,2000-12-25
000727.SZ,华东科技,1997-05-20
000728.SZ,国元证券,1997-06-16
000729.SZ,燕京啤酒,1997-07-16
000731.SZ,四川美丰,1997-06-17
000732.SZ,泰禾集团,1997-07-04
000733.SZ,振华科技,1997-07-03
000735.SZ,罗牛山,1997-06-11
000736.SZ,中房地产,1997-04-25
000737.SZ,南风化工,1997-04-28
000738.SZ,中航动控,1997-06-26
000739.SZ,普洛药业,1997-05-09
000748.SZ,长城信息,1997-07-04
000750.SZ,国海证券,1997-07-09
000751.SZ,锌业股份,1997-06-26
000752.SZ,西藏发展,1997-06-25
000753.SZ,漳州发展,1997-06-26
000755.SZ,山西三维,1997-06-27
000756.SZ,新华制药,1997-08-06
000757.SZ,浩物股份,1997-06-27
000758.SZ,中色股份,1997-04-16
000759.SZ,中百集团,1997-05-19
000760.SZ,斯太尔,1997-06-27
000761.SZ,本钢板材,1998-01-15
000762.SZ,西藏矿业,1997-07-08
000766.SZ,通化金马,1997-04-30
000767.SZ,漳泽电力,1997-06-09
000768.SZ,中航飞机,1997-06-26
000776.SZ,广发证券,1997-06-11
000777.SZ,中核科技,1997-07-10
000778.SZ,新兴铸管,1997-06-06
000779.SZ,三毛派神,1997-05-28
000780.SZ,平庄能源,1997-06-06
000782.SZ,美达股份,1997-06-19
000783.SZ,长江证券,1997-07-31
000785.SZ,武汉中商,1997-07-11
000786.SZ,北新建材,1997-06-06
000788.SZ,北大医药,1997-06-16
000789.SZ,万年青,1997-09-23
000790.SZ,华神集团,1998-03-27
000791.SZ,甘肃电投,1997-10-14
000792.SZ,盐湖股份,1997-09-04
000793.SZ,华闻传媒,1997-07-29
000795.SZ,英洛华,1997-08-08
000796.SZ,凯撒旅游,1997-07-03
000797.SZ,中国武夷,1997-07-15
000798.SZ,中水渔业,1998-02-12
000799.SZ,酒鬼酒,1997-07-18
000800.SZ,一汽轿车,1997-06-18
000801.SZ,四川九洲,1998-05-06
000802.SZ,北京文化,1998-01-08
000803.SZ,金宇车城,1998-03-03
000806.SZ,银河生物,1998-04-16
000807.SZ,云铝股份,1998-04-08
000809.SZ,铁岭新城,1998-06-16
000810.SZ,创维数字,1998-06-02
000811.SZ,烟台冰轮,1998-05-28
000812.SZ,陕西金叶,1998-06-23
000813.SZ,天山纺织,1998-05-19
000815.SZ,美利纸业,1998-06-09
000816.SZ,智慧农业,1997-08-18
000818.SZ,方大化工,1997-10-17
000819.SZ,岳阳兴长,1997-06-25
000820.SZ,金城股份,1998-06-30
000821.SZ,京山轻机,1998-06-26
000822.SZ,山东海化,1998-07-03
000823.SZ,超声电子,1997-10-08
000825.SZ,太钢不锈,1998-10-21
000826.SZ,启迪桑德,1998-02-25
000828.SZ,东莞控股,1997-06-17
000829.SZ,天音控股,1997-12-02
000830.SZ,鲁西化工,1998-08-07
000831.SZ,*ST五稀,1998-09-11
000833.SZ,贵糖股份,1998-11-11
000835.SZ,长城动漫,1999-06-25
000836.SZ,鑫茂科技,1997-09-29
000837.SZ,秦川机床,1998-09-28
000838.SZ,财信发展,1997-06-26
000839.SZ,中信国安,1997-10-31
000848.SZ,承德露露,1997-11-13
000850.SZ,华茂股份,1998-10-07
000851.SZ,高鸿股份,1998-06-09
000852.SZ,石化机械,1998-11-26
000856.SZ,*ST冀装,1998-08-13
000858.SZ,五粮液,1998-04-27
000859.SZ,国风塑业,1998-11-19
000860.SZ,顺鑫农业,1998-11-04
000861.SZ,海印股份,1998-10-28
000862.SZ,银星能源,1998-09-15
000863.SZ,三湘股份,1997-09-25
000868.SZ,安凯客车,1997-07-25
000869.SZ,张裕A,2000-10-26
000875.SZ,吉电股份,2002-09-26
000876.SZ,新希望,1998-03-11
000877.SZ,天山股份,1999-01-07
000878.SZ,云南铜业,1998-06-02
000880.SZ,潍柴重机,1998-04-02
000881.SZ,大连国际,1998-09-02
000882.SZ,华联股份,1998-06-16
000883.SZ,湖北能源,1998-05-19
000885.SZ,同力水泥,1999-03-19
000886.SZ,海南高速,1998-01-23
000887.SZ,中鼎股份,1998-12-03
000888.SZ,峨眉山A,1997-10-21
000889.SZ,茂业通信,1997-12-18
000890.SZ,法尔胜,1999-01-19
000892.SZ,星美联合,1999-01-15
000893.SZ,东凌国际,1998-12-24
000895.SZ,双汇发展,1998-12-10
000897.SZ,津滨发展,1999-04-22
000898.SZ,鞍钢股份,1997-12-25
000899.SZ,赣能股份,1997-11-26
000900.SZ,现代投资,1999-01-28
000901.SZ,航天科技,1999-04-01
000902.SZ,新洋丰,1999-04-08
000903.SZ,云内动力,1999-04-15
000905.SZ,厦门港务,1999-04-29
000906.SZ,物产中拓,1999-07-07
000908.SZ,景峰医药,1999-02-03
000909.SZ,数源科技,1999-05-07
000910.SZ,大亚科技,1999-06-30
000911.SZ,南宁糖业,1999-05-27
000912.SZ,泸天化,1999-06-03
000913.SZ,*ST钱江,1999-05-14
000915.SZ,山大华特,1999-06-09
000916.SZ,华北高速,1999-09-27
000917.SZ,电广传媒,1999-03-25
000918.SZ,嘉凯城,1999-07-20
000919.SZ,金陵药业,1999-11-18
000920.SZ,南方汇通,1999-06-16
000921.SZ,海信科龙,1999-07-13
000922.SZ,佳电股份,1999-06-18
000923.SZ,河北宣工,1999-07-14
000925.SZ,众合科技,1999-06-11
000926.SZ,福星股份,1999-06-18
000927.SZ,一汽夏利,1999-07-27
000928.SZ,中钢国际,1999-03-12
000929.SZ,兰州黄河,1999-06-23
000930.SZ,中粮生化,1999-07-12
000931.SZ,中关村,1999-07-12
000932.SZ,华菱钢铁,1999-08-03
000933.SZ,*ST神火,1999-08-31
000935.SZ,四川双马,1999-08-24
000936.SZ,华西股份,1999-08-10
000937.SZ,冀中能源,1999-09-09
000938.SZ,紫光股份,1999-11-04
000939.SZ,凯迪生态,1999-09-23
000948.SZ,南天信息,1999-10-14
000949.SZ,新乡化纤,1999-10-21
000950.SZ,*ST建峰,1999-09-16
000951.SZ,中国重汽,1999-11-25
000952.SZ,广济药业,1999-11-12
000953.SZ,河池化工,1999-12-02
000955.SZ,欣龙控股,1999-12-09
000957.SZ,中通客车,2000-01-13
000958.SZ,东方能源,1999-12-23
000959.SZ,首钢股份,1999-12-16
000960.SZ,锡业股份,2000-02-21
000961.SZ,中南建设,2000-03-01
000962.SZ,*ST东钽,2000-01-20
000963.SZ,华东医药,2000-01-27
000965.SZ,天保基建,2000-04-06
000966.SZ,长源电力,2000-03-16
000967.SZ,盈峰环境,2000-03-30
000968.SZ,*ST煤气,2000-06-22
000969.SZ,安泰科技,2000-05-29
000970.SZ,中科三环,2000-04-20
000971.SZ,高升控股,2000-04-27
000972.SZ,中基健康,2000-09-26
000973.SZ,佛塑科技,2000-05-25
000975.SZ,银泰资源,2000-06-08
000976.SZ,春晖股份,2000-06-01
000977.SZ,浪潮信息,2000-06-08
000978.SZ,桂林旅游,2000-05-18
000979.SZ,中弘股份,2000-06-16
000980.SZ,金马股份,2000-06-16
000981.SZ,银亿股份,2000-06-22
000982.SZ,中银绒业,2000-07-06
000983.SZ,西山煤电,2000-07-26
000985.SZ,大庆华科,2000-07-26
000987.SZ,广州友谊,2000-07-18
000988.SZ,华工科技,2000-06-08
000989.SZ,九芝堂,2000-06-28
000990.SZ,诚志股份,2000-07-06
000993.SZ,闽东电力,2000-07-31
000995.SZ,*ST皇台,2000-08-07
000996.SZ,中国中期,2000-07-18
000997.SZ,新大陆,2000-08-07
000998.SZ,隆平高科,2000-12-11
000999.SZ,华润三九,2000-03-09
001696.SZ,宗申动力,1997-03-06
001896.SZ,豫能控股,1998-01-22
001979.SZ,招商蛇口,2015-12-30
002001.SZ,新和成,2004-06-25
002002.SZ,鸿达兴业,2004-06-25
002003.SZ,伟星股份,2004-06-25
002004.SZ,华邦健康,2004-06-25
002005.SZ,德豪润达,2004-06-25
002006.SZ,精功科技,2004-06-25
002007.SZ,华兰生物,2004-06-25
002008.SZ,大族激光,2004-06-25
002009.SZ,天奇股份,2004-06-29
002010.SZ,传化股份,2004-06-29
002011.SZ,盾安环境,2004-07-05
002012.SZ,凯恩股份,2004-07-05
002013.SZ,中航机电,2004-07-05
002014.SZ,永新股份,2004-07-08
002015.SZ,霞客环保,2004-07-08
002016.SZ,世荣兆业,2004-07-08
002017.SZ,东信和平,2004-07-13
002018.SZ,华信国际,2004-07-13
002019.SZ,亿帆鑫富,2004-07-13
002020.SZ,京新药业,2004-07-15
002021.SZ,中捷资源,2004-07-15
002022.SZ,科华生物,2004-07-21
002023.SZ,海特高新,2004-07-21
002024.SZ,苏宁云商,2004-07-21
002025.SZ,航天电器,2004-07-26
002026.SZ,山东威达,2004-07-27
002027.SZ,分众传媒,2004-08-04
002028.SZ,思源电气,2004-08-05
002029.SZ,七匹狼,2004-08-06
002030.SZ,达安基因,2004-08-09
002031.SZ,巨轮智能,2004-08-16
002032.SZ,苏泊尔,2004-08-17
002033.SZ,丽江旅游,2004-08-25
002034.SZ,美欣达,2004-08-26
002035.SZ,华帝股份,2004-09-01
002036.SZ,联创电子,2004-09-03
002037.SZ,久联发展,2004-09-08
002038.SZ,双鹭药业,2004-09-09
002039.SZ,黔源电力,2005-03-03
002040.SZ,南京港,2005-03-25
002041.SZ,登海种业,2005-04-18
002042.SZ,华孚色纺,2005-04-27
002043.SZ,兔宝宝,2005-05-10
002044.SZ,美年健康,2005-05-18
002045.SZ,国光电器,2005-05-23
002046.SZ,轴研科技,2005-05-26
002047.SZ,宝鹰股份,2005-05-31
002048.SZ,宁波华翔,2005-06-03
002049.SZ,同方国芯,2005-06-06
002050.SZ,三花股份,2005-06-07
002051.SZ,中工国际,2006-06-19
002052.SZ,同洲电子,2006-06-27
002053.SZ,云南盐化,2006-06-27
002054.SZ,德美化工,2006-07-25
002055.SZ,得润电子,2006-07-25
002056.SZ,横店东磁,2006-08-02
002057.SZ,中钢天源,2006-08-02
002058.SZ,威尔泰,2006-08-02
002059.SZ,云南旅游,2006-08-10
002060.SZ,粤水电,2006-08-10
002061.SZ,*ST江化,2006-08-16
002062.SZ,宏润建设,2006-08-16
002063.SZ,远光软件,2006-08-23
002064.SZ,华峰氨纶,2006-08-23
002065.SZ,东华软件,2006-08-23
002066.SZ,瑞泰科技,2006-08-23
002067.SZ,景兴纸业,2006-09-15
002068.SZ,黑猫股份,2006-09-15
002069.SZ,*ST獐岛,2006-09-28
002070.SZ,众和股份,2006-10-12
002071.SZ,长城影视,2006-10-12
002072.SZ,凯瑞德,2006-10-18
002073.SZ,软控股份,2006-10-18
002074.SZ,国轩高科,2006-10-18
002075.SZ,沙钢股份,2006-10-25
002076.SZ,雪莱特,2006-10-25
002077.SZ,大港股份,2006-11-16
002078.SZ,太阳纸业,2006-11-16
002079.SZ,苏州固锝,2006-11-16
002080.SZ,中材科技,2006-11-20
002081.SZ,金螳螂,2006-11-20
002082.SZ,栋梁新材,2006-11-20
002083.SZ,孚日股份,2006-11-24
002084.SZ,海鸥卫浴,2006-11-24
002085.SZ,万丰奥威,2006-11-28
002086.SZ,东方海洋,2006-11-28
002087.SZ,新野纺织,2006-11-30
002088.SZ,鲁阳节能,2006-11-30
002089.SZ,新海宜,2006-11-30
002090.SZ,金智科技,2006-12-08
002091.SZ,江苏国泰,2006-12-08
002092.SZ,中泰化学,2006-12-08
002093.SZ,国脉科技,2006-12-15
002094.SZ,青岛金王,2006-12-15
002095.SZ,生意宝,2006-12-15
002096.SZ,南岭民爆,2006-12-22
002097.SZ,山河智能,2006-12-22
002098.SZ,浔兴股份,2006-12-22
002099.SZ,海翔药业,2006-12-26
002100.SZ,天康生物,2006-12-26
002101.SZ,广东鸿图,2006-12-29
